bit_index, EMD
2401, 1.3199077369245922
1830, 1.319902408194791
6245, 1.3199004000381747
3040, 1.3198555814483173
8082, 1.319828209733486
1380, 1.3198181497675012
3925, 1.3197520656869113
4820, 1.3197296179531959
5847, 1.3195811846978838
5280, 1.319560517010039
4555, 1.3194913365768948
2327, 1.3192464937526556
3030, 1.319211377973829
3880, 1.3190977136884663
1768, 1.3189395335382814
8756, 1.3187775899165661
8781, 1.3185850147349687
8225, 1.318411736774901
8126, 1.3183652654027946
2560, 1.3182408157747916
5812, 1.318048850873672
8181, 1.3179858881785265
4400, 1.3179291506615192
866, 1.317870096349564
4975, 1.3178326712228556
2413, 1.317703889456069
3005, 1.3176005333494567
3525, 1.3172849661331232
8692, 1.3172845682195122
8167, 1.3171652701586702
5660, 1.317105729037748
936, 1.317071288770874
3265, 1.3170569608528404
1965, 1.3170549792820125
4485, 1.3170193447524419
4947, 1.317016418864355
500, 1.3170021140777393
3656, 1.31699220702533
481, 1.3169819302858192
2408, 1.3169723781860558
3910, 1.3169550542427881
25, 1.3168355399414187
8500, 1.3168200406445467
5591, 1.3166654790001324
5711, 1.3166366885529628
1772, 1.316628264727802
8817, 1.3165968368276495
3520, 1.3165135009969111
211, 1.3164782187206718
8833, 1.3162711742844126
4341, 1.3162269905203332
5821, 1.3161904581331272
5695, 1.3161424105009776
4771, 1.315957432312298
2280, 1.3159171946023358
3480, 1.3154937653746739
1091, 1.3154426818615241
5161, 1.3154244852435766
2417, 1.31541272235267
4435, 1.3153572997387983
5640, 1.315307893215325
327, 1.3152831769993965
5540, 1.3152423094243066
4260, 1.3152251554519028
5491, 1.3147810660856456
8163, 1.3147633276731383
4591, 1.3147456498321295
4545, 1.3146505617236
5551, 1.3145415742228623
4815, 1.3145340735463675
3425, 1.3144391343363637
8405, 1.3143733273179545
1085, 1.3143548699955825
8215, 1.314341548286837
1005, 1.314299174690448
1070, 1.314263758999526
8420, 1.3142637405536026
1910, 1.3142460404660512
5575, 1.3140640965121602
2045, 1.3140221827443395
2160, 1.3138775073068247
4635, 1.3138674687966605
3601, 1.3137930056818927
2696, 1.3137863958785374
2012, 1.3136084048605283
3695, 1.3135904638166997
1150, 1.3135227135491299
1720, 1.3135191151141803
1035, 1.3134378031331377
5670, 1.3133679649993915
8356, 1.3133146099007442
110, 1.313285986527831
111, 1.313285986527831
112, 1.313285986527831
2605, 1.313222281304919
2335, 1.3132208701490673
8132, 1.3131741370114243
3570, 1.3131041755672388
5525, 1.3130495772210584
2403, 1.3130372015669631
2292, 1.3129749866842362
8178, 1.3128852802823876
2650, 1.3126884466944313
5613, 1.3126123047831193
8051, 1.3125444567178173
