Hessian ranking (weighted sum * eigenvalue) for model (param idx, rank)
1161, 0.06684342318840208
1041, 0.0663364693755284
1000, 0.06625443228404038
1832, 0.06592770996394393
1778, 0.06559475576068508
1170, 0.06441283188178204
757, 0.06423517315124627
821, 0.0639303859861684
1716, 0.06392851848067949
695, 0.06340192485367879
49, 0.06258408717076236
610, 0.062340476011740975
429, 0.06203930897027021
1727, 0.06203292380223502
1662, 0.061802305572200567
822, 0.061500739262555726
997, 0.061024874419672415
733, 0.060642400218057446
681, 0.060238138298700505
1175, 0.060048740582715254
1664, 0.05981015907491383
232, 0.0596157863328699
1167, 0.059569645061856136
94, 0.0591755364821438
566, 0.059027094263001345
1262, 0.05883807815916953
602, 0.058327171675045975
44, 0.05831997276709444
1162, 0.058244450854544993
992, 0.05789281025499804
499, 0.05754409162909724
928, 0.057281066611722053
217, 0.05708793769736076
506, 0.05705216061323881
1075, 0.05687158369983081
1113, 0.05679071570193628
838, 0.05665925409994088
685, 0.0564915488648694
622, 0.056178381957579404
1009, 0.055814004452258814
434, 0.0557601799882832
340, 0.05566789996009902
22, 0.05537952271697577
1842, 0.05513929567746345
996, 0.05504154923983151
516, 0.054888122191186994
1841, 0.054633890475088265
1858, 0.054584916666954086
1223, 0.0544342299017444
102, 0.054283299223243375
1251, 0.05394314991349347
1648, 0.0539013700436044
813, 0.05385904946888331
498, 0.05360484250559239
109, 0.05343243635434192
371, 0.0530941247161536
1770, 0.05306654903688468
478, 0.053031058621854754
1839, 0.052975200676883105
1837, 0.05232137194980169
391, 0.052150382776744664
106, 0.05212495733576361
954, 0.05211086754979988
630, 0.05203039140906185
392, 0.05191046470281435
613, 0.05128219454491045
986, 0.05092557180614676
985, 0.05072103840939235
1777, 0.05030481001449516
728, 0.050120809954933065
1206, 0.049704943579854444
515, 0.04964398038282525
576, 0.04920744863920845
994, 0.0489279629568955
182, 0.04881186281090777
581, 0.04859903142641997
486, 0.048589581938358606
1107, 0.04796118890953949
173, 0.047914919967297465
368, 0.047459689660172444
570, 0.046842118146741996
1775, 0.04684146955696633
1222, 0.04673103689128766
837, 0.046452149394554
961, 0.04631231809980818
355, 0.04597210466454271
225, 0.04585751690319739
1209, 0.04553814496102859
1023, 0.04548944286216283
1121, 0.04548121710104169
1017, 0.044990177020736155
1850, 0.044976927179504855
962, 0.04485660542559344
1834, 0.0444738144551593
559, 0.04420170776575105
487, 0.044142971491965
631, 0.0441348469175864
690, 0.044080454448703676
1016, 0.044075838027310965
578, 0.04372689301089849
729, 0.0428680552104197
682, 0.042523816984612495
110, 0.04226700036088005
621, 0.04164476873120293
1005, 0.04070164119366382
446, 0.04064721705617558
1322, 0.04036563535919413
132, 0.04026595327013638
1857, 0.04006502217089292
1722, 0.039732578595248924
509, 0.03962502434296766
1246, 0.03961360701214289
1855, 0.03957548021207913
1635, 0.03869439820300613
629, 0.038424105343437986
113, 0.038304989522657706
1028, 0.03817909744429926
1031, 0.03757560189842479
1106, 0.03757325891274377
626, 0.03729268433562538
1333, 0.03712644539473331
343, 0.036926096994648105
60, 0.036870076415652875
618, 0.036858523559203604
984, 0.03670136372875277
370, 0.036344621248645126
911, 0.03623446385972784
97, 0.036166909252642654
730, 0.03608843005804374
389, 0.03570772511102405
575, 0.03511967046870268
533, 0.0351054653438041
129, 0.03497709393741388
59, 0.03404453716575517
625, 0.033917712804395705
1642, 0.03388046062900685
693, 0.03374125666596228
1783, 0.03336947004208923
52, 0.03334366947910894
